Dia,Susceptibles,Infectados,Recuperados,NuevosContagios,R0Efectivo
1,999974,24,2,6,0.3000
2,999956,40,4,18,0.7500
3,999935,55,10,21,0.5250
4,999915,67,18,20,0.3636
5,999893,82,25,22,0.3284
6,999866,103,31,27,0.3293
7,999840,116,44,26,0.2524
8,999808,133,59,32,0.2759
9,999769,154,77,39,0.2932
10,999736,178,86,33,0.2143
11,999695,204,101,41,0.2303
12,999658,225,117,37,0.1814
13,999615,250,135,43,0.1911
14,999562,281,157,53,0.2120
15,999515,298,187,47,0.1673
16,999459,339,202,56,0.1879
17,999401,369,230,58,0.1711
18,999335,402,263,66,0.1789
19,999260,446,294,75,0.1866
20,999188,482,330,72,0.1614
21,999116,505,379,72,0.1494
22,999056,529,415,60,0.1188
23,998976,571,453,80,0.1512
24,998893,607,500,83,0.1454
25,998813,645,542,80,0.1318
26,998726,689,585,87,0.1349
27,998642,727,631,84,0.1219
28,998545,777,678,97,0.1334
29,998425,841,734,120,0.1544
30,998326,877,797,99,0.1177
31,998198,938,864,128,0.1460
32,998080,984,936,118,0.1258
33,997961,1009,1030,119,0.1209
34,997821,1065,1114,140,0.1388
35,997681,1114,1205,140,0.1315
36,997545,1170,1285,136,0.1221
37,997391,1240,1369,154,0.1316
38,997233,1300,1467,158,0.1274
39,997075,1356,1569,158,0.1215
40,996910,1396,1694,165,0.1217
41,996736,1475,1789,174,0.1246
42,996552,1539,1909,184,0.1247
43,996384,1583,2033,168,0.1092
44,996195,1636,2169,189,0.1194
45,995996,1689,2315,199,0.1216
46,995799,1752,2449,197,0.1166
47,995606,1821,2573,193,0.1102
48,995394,1888,2718,212,0.1164
49,995189,1944,2867,205,0.1086
50,994950,2020,3030,239,0.1229
51,994722,2069,3209,228,0.1129
52,994485,2136,3379,237,0.1145
53,994247,2178,3575,238,0.1114
54,993987,2270,3743,260,0.1194
55,993730,2341,3929,257,0.1132
56,993475,2410,4115,255,0.1089
57,993223,2478,4299,252,0.1046
58,992968,2551,4481,255,0.1029
59,992687,2648,4665,281,0.1102
60,992417,2717,4866,270,0.1020
61,992164,2761,5075,253,0.0931
62,991882,2832,5286,282,0.1021
63,991584,2908,5508,298,0.1052
64,991296,2956,5748,288,0.0990
65,991011,2994,5995,285,0.0964
66,990707,3046,6247,304,0.1015
67,990381,3129,6490,326,0.1070
68,990059,3198,6743,322,0.1029
69,989747,3238,7015,312,0.0976
70,989418,3315,7267,329,0.1016
71,989070,3405,7525,348,0.1050
72,988733,3460,7807,337,0.0990
73,988375,3553,8072,358,0.1035
74,988013,3644,8343,362,0.1019
75,987641,3727,8632,372,0.1021
76,987288,3763,8949,353,0.0947
77,986913,3833,9254,375,0.0997
78,986519,3906,9575,394,0.1028
79,986148,3965,9887,371,0.0950
80,985741,4081,10178,407,0.1026
81,985368,4090,10542,373,0.0914
82,985001,4101,10898,367,0.0897
83,984644,4136,11220,357,0.0871
84,984271,4183,11546,373,0.0902
85,983874,4261,11865,397,0.0949
86,983477,4313,12210,397,0.0932
87,983089,4335,12576,388,0.0900
88,982712,4325,12963,377,0.0870
89,982323,4392,13285,389,0.0899
90,981928,4446,13626,395,0.0899
91,981539,4453,14008,389,0.0875
92,981132,4492,14376,407,0.0914
93,980731,4527,14742,401,0.0893
94,980310,4596,15094,421,0.0930
95,979897,4629,15474,413,0.0899
96,979431,4707,15862,466,0.1007
97,979029,4702,16269,402,0.0854
98,978591,4746,16663,438,0.0932
99,978166,4816,17018,425,0.0895
100,977730,4879,17391,436,0.0905
101,977260,4958,17782,470,0.0963
102,976797,5036,18167,463,0.0934
103,976327,5125,18548,470,0.0933
104,975855,5184,18961,472,0.0921
105,975370,5254,19376,485,0.0936
106,974892,5300,19808,478,0.0910
107,974409,5338,20253,483,0.0911
108,973920,5398,20682,489,0.0916
109,973422,5456,21122,498,0.0923
110,972931,5520,21549,491,0.0900
111,972423,5600,21977,508,0.0920
112,971899,5646,22455,524,0.0936
113,971373,5720,22907,526,0.0932
114,970858,5778,23364,515,0.0900
115,970322,5826,23852,536,0.0928
116,969745,5943,24312,577,0.0990
117,969219,6000,24781,526,0.0885
118,968678,6016,25306,541,0.0902
119,968100,6113,25787,578,0.0961
120,967543,6180,26277,557,0.0911
121,966983,6227,26790,560,0.0906
122,966397,6363,27240,586,0.0941
123,965781,6483,27736,616,0.0968
124,965181,6562,28257,600,0.0925
125,964584,6636,28780,597,0.0910
126,963969,6702,29329,615,0.0927
127,963356,6762,29882,613,0.0915
128,962773,6775,30452,583,0.0862
129,962199,6821,30980,574,0.0847
130,961547,6936,31517,652,0.0956
131,960891,7009,32100,656,0.0946
132,960278,7028,32694,613,0.0875
133,959673,7063,33264,605,0.0861
134,958988,7153,33859,685,0.0970
135,958318,7237,34445,670,0.0937
136,957675,7333,34992,643,0.0888
137,956996,7445,35559,679,0.0926
138,956339,7516,36145,657,0.0882
139,955681,7591,36728,658,0.0875
140,954982,7679,37339,699,0.0921
141,954316,7758,37926,666,0.0867
142,953662,7810,38528,654,0.0843
143,952963,7903,39134,699,0.0895
144,952276,7926,39798,687,0.0869
145,951573,8016,40411,703,0.0887
146,950874,8101,41025,699,0.0872
147,950182,8192,41626,692,0.0854
148,949473,8260,42267,709,0.0865
149,948720,8343,42937,753,0.0912
150,948029,8368,43603,691,0.0828
151,947279,8468,44253,750,0.0896
152,946484,8602,44914,795,0.0939
153,945752,8665,45583,732,0.0851
154,944979,8746,46275,773,0.0892
155,944199,8822,46979,780,0.0892
156,943415,8915,47670,784,0.0889
157,942658,8959,48383,757,0.0849
158,941894,8999,49107,764,0.0853
159,941116,9070,49814,778,0.0865
160,940344,9151,50505,772,0.0851
161,939534,9237,51229,810,0.0885
